corp_ID,corp_name,schl_ID,schl_name,enrlmnt,year,type
9220,Diocese of Fort Wayne,A035,Saint Joseph School,295,2014,pr
9230,Lutheran Schools of Indiana,A040,St Peter Immanuel Lutheran Sch,53,2014,pr
9230,Lutheran Schools of Indiana,A045,Wyneken Memorial Lutheran Sch,209,2014,pr
9220,Diocese of Fort Wayne,A104,St Joseph-St Elizabeth Campus 2,274,2014,pr
9220,Diocese of Fort Wayne,A120,Bishop Dwenger High School,1035,2014,pr
9220,Diocese of Fort Wayne,A125,Bishop Luers High School,600,2014,pr
9220,Diocese of Fort Wayne,A130,Most Precious Blood School,217,2014,pr
9220,Diocese of Fort Wayne,A135,Queen Of Angels School,184,2014,pr
9220,Diocese of Fort Wayne,A145,Saint Charles Borromeo School,780,2014,pr
9220,Diocese of Fort Wayne,A150,Saint John The Baptist School,270,2014,pr
9220,Diocese of Fort Wayne,A155,St Joseph - St Elizabeth Campus 1,240,2014,pr
9220,Diocese of Fort Wayne,A160,Saint Jude Elementary School,534,2014,pr
N/A,Independent Non-Public Schools,A170,Blackhawk Christian Mdl/High Sch,372,2014,pr
N/A,Independent Non-Public Schools,A172,Blackhawk Christian Elem Sch,342,2014,pr
9220,Diocese of Fort Wayne,A175,Saint Therese School,186,2014,pr
9220,Diocese of Fort Wayne,A180,Saint Vincent DePaul School,737,2014,pr
9230,Lutheran Schools of Indiana,A195,Concordia Lutheran High School,705,2014,pr
9230,Lutheran Schools of Indiana,A200,Suburban Bethlehem Lutheran Sch,159,2014,pr
9230,Lutheran Schools of Indiana,A205,Concordia Evangelical Lutheran Sch,1,2014,pr
9230,Lutheran Schools of Indiana,A215,Emmanuel St Michael Lutheran Sch,342,2014,pr
9230,Lutheran Schools of Indiana,A220,Emmaus Lutheran School,134,2014,pr
9230,Lutheran Schools of Indiana,A225,Holy Cross Lutheran School,419,2014,pr
9230,Lutheran Schools of Indiana,A235,Lutheran South Unity School,209,2014,pr
N/A,Independent Non-Public Schools,A236,Cornerstone College Prep Sch,101,2014,pr
9230,Lutheran Schools of Indiana,A245,Saint Paul Lutheran School,199,2014,pr
9230,Lutheran Schools of Indiana,A248,Ascension Lutheran Sch,118,2014,pr
N/A,Independent Non-Public Schools,A249,Central Christian School,159,2014,pr
9230,Lutheran Schools of Indiana,A250,Saint Peter's Lutheran School,220,2014,pr
N/A,Independent Non-Public Schools,A260,Aboite Christian School,32,2014,pr
9220,Diocese of Fort Wayne,A270,Saint Aloysius Catholic School,87,2014,pr
N/A,Independent Non-Public Schools,A302,Horizon Christian Academy 2,125,2014,pr
N/A,Independent Non-Public Schools,A307,Horizon Christian Academy 3,204,2014,pr
N/A,Independent Non-Public Schools,A309,Horizon Christian Academy,157,2014,pr
9220,Diocese of Fort Wayne,A340,Saint Joseph Catholic School,87,2014,pr
9220,Diocese of Fort Wayne,A350,St Joseph Hessen Cassel Cath Sch,108,2014,pr
N/A,Independent Non-Public Schools,A352,Gateway Woods School,18,2014,pr
9220,Diocese of Fort Wayne,A355,Saint John The Baptist Catholic Sc,327,2014,pr
9220,Diocese of Fort Wayne,A360,Saint Louis Besancon Catholic Sch,101,2014,pr
9230,Lutheran Schools of Indiana,A365,St John-Emmanuel Lutheran School,132,2014,pr
9230,Lutheran Schools of Indiana,A370,Central Lutheran School,345,2014,pr
9230,Lutheran Schools of Indiana,A375,Woodburn Lutheran School,123,2014,pr
9200,Archdiocese of Indianapolis,A425,St Bartholomew School,351,2014,pr
9230,Lutheran Schools of Indiana,A430,White Creek Lutheran School,138,2014,pr
9230,Lutheran Schools of Indiana,A435,Saint Peter Lutheran School,399,2014,pr
N/A,Independent Non-Public Schools,A450,Columbus Christian School Inc,197,2014,pr
9210,Diocese of Lafayette Catholic Sch,A470,Sacred Heart School,79,2014,pr
N/A,Independent Non-Public Schools,A480,James E Davis School,22,2014,pr
9210,Diocese of Lafayette Catholic Sch,A515,All Saints Catholic School,162,2014,pr
9200,Archdiocese of Indianapolis,A550,Saint Paul School,313,2014,pr
9200,Archdiocese of Indianapolis,A560,Saint Anthony School,356,2014,pr
9200,Archdiocese of Indianapolis,A570,Sacred Heart School,191,2014,pr
9200,Archdiocese of Indianapolis,A575,Our Lady Of Providence High Sch,587,2014,pr
9215,Diocese of Evansville,A660,Washington Catholic Mid/High Sch,143,2014,pr
9215,Diocese of Evansville,A665,Washington Catholic Elem School,181,2014,pr
9200,Archdiocese of Indianapolis,A680,Saint Nicholas School,122,2014,pr
9200,Archdiocese of Indianapolis,A685,Saint Paul Catholic School,44,2014,pr
9200,Archdiocese of Indianapolis,A690,Saint Mary School,133,2014,pr
9200,Archdiocese of Indianapolis,A700,Saint Lawrence School,219,2014,pr
N/A,Independent Non-Public Schools,A724,Good Shepherd Christian Academy,42,2014,pr
