corp_name,corp_id,STATEFP,UNSDLEA,AFFGEOID,GEOID,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,geometry
Lake Station Community Schools,4680,18,02910,9700000US1802910,1802910,IN,Indiana,00,15928469,128601,"list(list(c(-87.283553, -87.278708, -87.27876, -87.278753, -87.278699, -87.278765, -87.275337, -87.27523, -87.2663, -87.26634, -87.261269, -87.240662, -87.222221, -87.222161, -87.222058, -87.221965, -87.221841, -87.221778, -87.227825, -87.231421, -87.238517, -87.238134, -87.238238, -87.240991, -87.240927, -87.250548, -87.251212, -87.255465, -87.255682, -87.260306, -87.260405, -87.260412, -87.264174, -87.265224, -87.264867, -87.269053, -87.270032, -87.270041, -87.272827, -87.274872, -87.278659, -87.278621, 
-87.281058, -87.281098, -87.283502, -87.2835, -87.283553, 41.57206, 41.570434, 41.572704, 41.57341, 41.580235, 41.587238, 41.587193, 41.589124, 41.59008, 41.594295, 41.594208, 41.594053, 41.594031, 41.589398, 41.579864, 41.574378, 41.569542, 41.565063, 41.565088, 41.565102, 41.565151, 41.562388, 41.562005, 41.559421, 41.557926, 41.557744, 41.561228, 41.561585, 41.561577, 41.56162, 41.565068, 41.565331, 41.565363, 41.565373, 41.56489, 41.562634, 41.562508, 41.565411, 41.565495, 41.565462, 41.565506, 
41.56414, 41.563441, 41.565519, 41.565528, 41.569106, 41.57206)))"
Hanover Community School Corporation,4580,18,04350,9700000US1804350,1804350,IN,Indiana,00,74439131,2425459,"list(list(c(-87.526476, -87.5262297799226, -87.5261293112656, -87.526085, -87.5259257114119, -87.5259232877228, -87.5258586600972, -87.512104, -87.508352, -87.501765, -87.498837, -87.489287, -87.487417, -87.487169, -87.486555, -87.485305, -87.485306, -87.481102, -87.474677, -87.470005, -87.465787, -87.460406, -87.455508, -87.450572, -87.433324, -87.431161, -87.431169, -87.431175, -87.431181, -87.431199, -87.43118, -87.431185, -87.431226, -87.43116, -87.431155, -87.431108, -87.431247, -87.431213, 
-87.431229, -87.431227, -87.443346, -87.455431, -87.470014, -87.498556, -87.499961, -87.5264880755018, -87.526476, 41.350889, 41.3852899120432, 41.3993270022278, 41.405518, 41.4266781483828, 41.4270001150823, 41.4355853512462, 41.435596, 41.435606, 41.435594, 41.435586, 41.435565, 41.43485, 41.435013, 41.435148, 41.435153, 41.4354, 41.43536, 41.435267, 41.435335, 41.435195, 41.435222, 41.435282, 41.435327, 41.435298, 41.435295, 41.431557, 41.428145, 41.424529, 41.420924, 41.420364, 41.40637, 41.391749, 
41.388057, 41.385136, 41.377363, 41.364357, 41.352849, 41.348168, 41.348009, 41.348074, 41.348252, 41.348312, 41.348415, 41.348344, 41.348373, 41.350889)))"
Southeast Fountain School Corporation,2455,18,10620,9700000US1810620,1810620,IN,Indiana,00,538821259,1017894,"list(list(c(-87.319063, -87.299565, -87.299781, -87.280804, -87.281141, -87.299815, -87.299996, -87.29993, -87.299934, -87.299986, -87.30054, -87.300533, -87.30053, -87.262521, -87.205092, -87.205499, -87.20546, -87.2055, -87.186379, -87.186296, -87.167714, -87.1486, -87.148587, -87.096999, -87.092709, -87.092647, -87.09223, -87.09253, -87.092531, -87.092563, -87.092409, -87.091957, -87.091904, -87.091934, -87.091928, -87.092031, -87.092142, -87.091488, -87.091267, -87.090659, -87.090008, -87.091006, 
-87.125902, -87.126051, -87.14834, -87.178717, -87.190124, -87.204129, -87.242187, -87.256629, -87.261413, -87.313423, -87.318521, -87.318223, -87.319063, 40.026268, 40.026055, 40.039117, 40.039241, 40.068133, 40.068011, 40.096896, 40.109387, 40.120749, 40.128009, 40.128009, 40.178795, 40.186056, 40.186081, 40.185718, 40.214609, 40.221934, 40.229097, 40.229192, 40.25831, 40.258241, 40.258056, 40.25864, 40.258586, 40.258391, 40.250037, 40.249437, 40.243684, 40.229311, 40.214806, 40.214287, 40.171253, 
40.127547, 40.110083, 40.087217, 40.06826, 40.039019, 40.039011, 40.029355, 39.981897, 39.952995, 39.953009, 39.953149, 39.952985, 39.953055, 39.953301, 39.953069, 39.953279, 39.952994, 39.952862, 39.952868, 39.952764, 39.952753, 39.960069, 40.026268)))"
Greensburg Community Schools,1730,18,04080,9700000US1804080,1804080,IN,Indiana,00,203126424,545430,"list(list(c(-85.555543, -85.555243, -85.555321, -85.555342, -85.555309, -85.555307, -85.555294, -85.550492, -85.542772, -85.542461, -85.538266, -85.508029, -85.503518, -85.499969, -85.479521, -85.460918, -85.460669, -85.460373, -85.423114, -85.423264, -85.423719, -85.423225, -85.404517, -85.38546, -85.385619, -85.38619, -85.386382, -85.386027, -85.385659, -85.385532, -85.385736, -85.38538, -85.387534, -85.388087, -85.388343, -85.394638, -85.395471, -85.410421, -85.414405, -85.417547, -85.423979, 
-85.427483, -85.433328, -85.433379, -85.438135, -85.447204, -85.447736, -85.462501, -85.463825, -85.465081, -85.468269, -85.470199, -85.473706, -85.477395, -85.479397, -85.481036, -85.484667, -85.487214, -85.490216, -85.492431, -85.494316, -85.497098, -85.49637, -85.498591, -85.499939, -85.503704, -85.503089, -85.505522, -85.507484, -85.510303, -85.514525, -85.517538, -85.518015, -85.517792, -85.516827, -85.51723, -85.517463, -85.540851, -85.555052, -85.55649, -85.555543, 39.350781, 39.363234, 39.372632, 
39.375042, 39.376053, 39.376143, 39.379948, 39.380085, 39.380043, 39.380091, 39.379923, 39.380343, 39.380342, 39.380215, 39.380667, 39.380816, 39.380836, 39.395807, 39.395981, 39.381185, 39.375051, 39.366613, 39.366578, 39.367044, 39.352362, 39.352199, 39.343468, 39.32855, 39.293072, 39.282334, 39.275747, 39.268698, 39.268716, 39.268086, 39.249609, 39.249873, 39.24929, 39.251932, 39.252213, 39.251759, 39.251511, 39.251714, 39.251048, 39.248213, 39.247967, 39.248091, 39.240781, 39.24132, 39.242196, 
39.241497, 39.241458, 39.2406, 39.240977, 39.239937, 39.240148, 39.239439, 39.239808, 39.238498, 39.237845, 39.239415, 39.238362, 39.238902, 39.242008, 39.242373, 39.239578, 39.238928, 39.237655, 39.237753, 39.235585, 39.234961, 39.235729, 39.235019, 39.255816, 39.262948, 39.26302, 39.283958, 39.29199, 39.291937, 39.291796, 39.350618, 39.350781)))"
Tri-County School Corporation,8535,18,11430,9700000US1811430,1811430,IN,Indiana,00,581544188,503641,"list(list(c(-87.267769, -87.173378, -87.163642, -87.099645, -87.099793, -87.005723, -86.986438, -86.929774, -86.930076, -86.93033, -86.930175, -86.930846, -86.92912, -86.92875, -86.92878, -86.92804, -86.98574, -86.98415, -86.98387, -86.981549, -86.9916, -87.001196, -87.002052, -87.095357, -87.0973, -87.210819, -87.211193, -87.267298, -87.267347, -87.267769, 40.822343, 40.822684, 40.822724, 40.823036, 40.837607, 40.837914, 40.837921, 40.838758, 40.827521, 40.8239, 40.813778, 40.810143, 40.75049, 40.73608, 
40.73596, 40.72091, 40.7212, 40.64857, 40.63461, 40.561989, 40.562133, 40.562206, 40.562313, 40.562895, 40.64955, 40.649619, 40.736671, 40.736582, 40.765624, 40.822343)))"
North Knox School Corporation,4315,18,07830,9700000US1807830,1807830,IN,Indiana,00,538718656,5522762,"list(list(c(-87.552066, -87.545719, -87.543188, -87.542606, -87.547611, -87.54737, -87.545203, -87.536816, -87.534919, -87.535536, -87.53828, -87.544292, -87.54513, -87.544919, -87.544089, -87.541628, -87.539122, -87.53859, -87.538411, -87.537718, -87.537596, -87.536264, -87.535703, -87.535172, -87.534363, -87.534472, -87.536398, -87.536591, -87.533695, -87.531337, -87.5225092886878, -87.448718, -87.448219, -87.425557, -87.392367, -87.375017, -87.373033, -87.354295, -87.337011, -87.314118, -87.312448, 
-87.278348, -87.241067, -87.241027, -87.240129, -87.173579, -87.129882, -87.129771, -87.101308, -87.098771, -87.097066, -87.09447, -87.09137, -87.090694, -87.091647, -87.094876, -87.098395, -87.101721, -87.103733, -87.106456, -87.107568, -87.107601, -87.11023, -87.112723, -87.114306, -87.115454, -87.11711, -87.120832, -87.122473, -87.122989, -87.121707, -87.119136, -87.116372, -87.113966, -87.113445, -87.113862, -87.117627, -87.120942, -87.12267, -87.124404, -87.127199, -87.12938, -87.130584, -87.129366, 
-87.125659, -87.124456, -87.123573, -87.120098, -87.119961, -87.1207, -87.122273, -87.12411, -87.126004, -87.127719, -87.130561, -87.132721, -87.134352, -87.135836, -87.133514, -87.133004, -87.133568, -87.133064, -87.13152, -87.127444, -87.126414, -87.127726, -87.129773, -87.132282, -87.136441, -87.14128, -87.143709, -87.146601, -87.147554, -87.146049, -87.142259, -87.14101, -87.140947, -87.143213, -87.142576, -87.139521, -87.139551, -87.141861, -87.142288, -87.140637, -87.140574, -87.143803, -87.144728, 
-87.147446, -87.14932, -87.152246, -87.153932, -87.15482, -87.16159, -87.164257, -87.166384, -87.168324, -87.170381, -87.172466, -87.174762, -87.179946, -87.183633, -87.18527, -87.185979, -87.185098, -87.182437, -87.177693, -87.175267, -87.172962, -87.17334, -87.17465, -87.174231, -87.172067, -87.171509, -87.173359, -87.175927, -87.177921, -87.179386, -87.182146, -87.186034, -87.186849, -87.186764, -87.185886, -87.186329, -87.187475, -87.188967, -87.190277, -87.191551, -87.193565, -87.195376, -87.196981, 
-87.197648, -87.197192, -87.191972, -87.190175, -87.18954, -87.191284, -87.191633, -87.192243, -87.195367, -87.196816, -87.196849, -87.19794, -87.199758, -87.201845, -87.203667, -87.205206, -87.205338, -87.203048, -87.203083, -87.204476, -87.208159, -87.210482, -87.212651, -87.213267, -87.211712, -87.211152, -87.210995, -87.21244, -87.214217, -87.216054, -87.218733, -87.218623, -87.215272, -87.215285, -87.21593, -87.217677, -87.219869, -87.22194, -87.222901, -87.224463, -87.225917, -87.228538, -87.228719, 
-87.227986, -87.226391, -87.226737, -87.228287, -87.232032, -87.234939, -87.237171, -87.238824, -87.238727, -87.237881, -87.233968, -87.233885, -87.235834, -87.238937, -87.239915, -87.2423, -87.243352, -87.244406, -87.2466, -87.245915, -87.242292, -87.240888, -87.240922, -87.242729, -87.241708, -87.240221, -87.239778, -87.24046, -87.242858, -87.244248, -87.246662, -87.253185, -87.255551, -87.256957, -87.256931, -87.257661, -87.257788, -87.255895, -87.25285, -87.250012, -87.248126, -87.24588, -87.243153, 
-87.240698, -87.239193, -87.242542, -87.244222, -87.244601, -87.244083, -87.242959, -87.241544, -87.239149, -87.239047, -87.240652, -87.243872, -87.244803, -87.24622, -87.2479, -87.251154, -87.252964, -87.252456, -87.247478, -87.244819, -87.245131, -87.243017, -87.239085, -87.238204, -87.238716, -87.241292, -87.243505, -87.245496, -87.246906, -87.248949, -87.250413, -87.25133, -87.254483, -87.255338, -87.2551, -87.252802, -87.249484, -87.247796, -87.247003, -87.247342, -87.249995, -87.253018, -87.253892, 
-87.255656, -87.258356, -87.259043, -87.258852, -87.260944, -87.262829, -87.262582, -87.262455, -87.263277, -87.315117, -87.323381, -87.330118, -87.351978, -87.387254, -87.409408, -87.414098, -87.420577, -87.452658, -87.458765, -87.462884, -87.462965, -87.482516, -87.5058333176155, -87.505339, -87.49652, -87.4962417822911, -87.496076, -87.503318, -87.504006, -87.498948, -87.4977016573747, -87.496998, -87.4978813564732, -87.498216, -87.502516, -87.508183, -87.511969, -87.514373, -87.514548, -87.511798, 
-87.504301, -87.49743, -87.495199, -87.495905, -87.503129, -87.508211, -87.521595, -87.527342, -87.526463, -87.52391, -87.521681, -87.522212, -87.524035, -87.526695, -87.525893, -87.528194, -87.5320635292666, -87.537248, -87.552028, -87.553394, -87.552066, 38.864511, 38.86303, 38.864214, 38.866641, 38.872516, 38.875614, 38.87673, 38.877408, 38.878874, 38.881555, 38.885799, 38.888953, 38.891467, 38.89345, 38.895093, 38.896381, 38.896119, 38.89553, 38.892582, 38.890925, 38.889551, 38.887425, 38.887207, 
38.887926, 38.890376, 38.892339, 38.894562, 38.895566, 38.900957, 38.901786, 38.9023946478127, 38.902303, 38.902313, 38.902022, 38.901828, 38.90175, 38.901975, 38.901639, 38.901794, 38.901732, 38.9018, 38.901662, 38.901591, 38.907874, 38.907858, 38.90762, 38.907315, 38.90468, 38.904019, 38.903974, 38.903326, 38.903255, 38.901594, 38.900289, 38.897542, 38.896768, 38.897148, 38.900832, 38.901129, 38.899575, 38.897255, 38.895532, 38.893937, 38.893977, 38.895081, 38.89783, 38.898983, 38.8989, 38.897676, 
38.895716, 38.893881, 38.89238, 38.892108, 38.890634, 38.888264, 38.887663, 38.88682, 38.888381, 38.890317, 38.891025, 38.890699, 38.889102, 38.886139, 38.883802, 38.883346, 38.880861, 38.877715, 38.874769, 38.873276, 38.871635, 38.869966, 38.869437, 38.869616, 38.870588, 38.875046, 38.875232, 38.874488, 38.871963, 38.868606, 38.867335, 38.865328, 38.863826, 38.862758, 38.862748, 38.860084, 38.858686, 38.85838, 38.859333, 38.862413, 38.864669, 38.867361, 38.867287, 38.865837, 38.863593, 38.861962, 
38.860281, 38.858087, 38.854947, 38.85226, 38.850239, 38.849543, 38.847958, 38.84709, 38.845779, 38.843513, 38.841424, 38.839541, 38.838569, 38.83838, 38.839992, 38.842584, 38.843191, 38.845005, 38.844543, 38.845354, 38.84669, 38.846936, 38.845408, 38.844792, 38.84536, 38.847439, 38.846634, 38.844557, 38.843434, 38.842324, 38.842467, 38.841599, 38.838981, 38.836877, 38.836009, 38.834911, 38.833156, 38.83109, 38.829404, 38.829371, 38.830217, 38.832236, 38.834185, 38.834581, 38.8338, 38.831719, 38.829781, 
38.826709, 38.825517, 38.825561, 38.827507, 38.83089, 38.831571, 38.831316, 38.830169, 38.828272, 38.826562, 38.824785, 38.823757, 38.820175, 38.818404, 38.815421, 38.814688, 38.815388, 38.819036, 38.821512, 38.824321, 38.825542, 38.825998, 38.825598, 38.823633, 38.820802, 38.816427, 38.815145, 38.813808, 38.811631, 38.807343, 38.8075, 38.807977, 38.815193, 38.816837, 38.820901, 38.822751, 38.823536, 38.823644, 38.822091, 38.819052, 38.81486, 38.812626, 38.811627, 38.812058, 38.811731, 38.810461, 
38.80893, 38.805156, 38.804233, 38.804922, 38.806407, 38.808016, 38.81129, 38.812331, 38.813463, 38.813388, 38.811062, 38.810905, 38.81206, 38.813867, 38.814753, 38.815742, 38.816616, 38.818329, 38.819642, 38.819264, 38.816106, 38.811196, 38.809262, 38.807701, 38.806369, 38.803614, 38.801539, 38.800571, 38.797888, 38.795135, 38.78961, 38.786318, 38.781175, 38.779172, 38.779068, 38.779844, 38.779596, 38.778704, 38.776622, 38.77389, 38.771635, 38.768599, 38.765589, 38.764671, 38.765152, 38.766055, 
38.768028, 38.768839, 38.76811, 38.766148, 38.762943, 38.760672, 38.758244, 38.7558, 38.75362, 38.752344, 38.751129, 38.749866, 38.749113, 38.750047, 38.751728, 38.756213, 38.758232, 38.758278, 38.756762, 38.754274, 38.750377, 38.748545, 38.745463, 38.743944, 38.743544, 38.742676, 38.741157, 38.74044, 38.741084, 38.742448, 38.742525, 38.741699, 38.740265, 38.738195, 38.735654, 38.733843, 38.732712, 38.731414, 38.73119, 38.730366, 38.728892, 38.726866, 38.72561, 38.727033, 38.729911, 38.729445, 38.729893, 
38.73127, 38.733414, 38.733854, 38.730305, 38.729457, 38.7289, 38.728845, 38.72879, 38.728766, 38.728748, 38.728684, 38.728652, 38.728648, 38.728677, 38.728686, 38.7287, 38.728681, 38.72869, 38.73342, 38.733477, 38.7335377863042, 38.73497, 38.739336, 38.7410761139133, 38.742113, 38.74708, 38.74971, 38.757774, 38.762588078284, 38.765306, 38.7674824801118, 38.768307, 38.769173, 38.767312, 38.767538, 38.769172, 38.771821, 38.773558, 38.773846, 38.777438, 38.781979, 38.785434, 38.792874, 38.795716, 38.813013, 
38.818121, 38.820538, 38.82228, 38.826576, 38.830483, 38.832914, 38.838578, 38.848795, 38.851691, 38.8525034558356, 38.853592, 38.860318, 38.86241, 38.864511)))"
North Spencer County School Corporation,7385,18,08010,9700000US1808010,1808010,IN,Indiana,00,670085586,7705170,"list(list(c(-87.191776, -87.189501, -87.185803, -87.184932, -87.183781, -87.183026, -87.179494, -87.175894, -87.174825, -87.175506, -87.176331, -87.180548, -87.182329, -87.183193, -87.182282, -87.178627, -87.173991, -87.17034, -87.169309, -87.170409, -87.169709, -87.16848, -87.165799, -87.161683, -87.158389, -87.155888, -87.153598, -87.152871, -87.152794, -87.153568, -87.156102, -87.159341, -87.162851, -87.166022, -87.166353, -87.165363, -87.160989, -87.159442, -87.159002, -87.157694, -87.156516, 
-87.154557, -87.153775, -87.154288, -87.156265, -87.156783, -87.156067, -87.153088, -87.151086, -87.152424, -87.152135, -87.153495, -87.15312, -87.147914, -87.145364, -87.139073, -87.136456, -87.133357, -87.132774, -87.132515, -87.131442, -87.127958, -87.126877, -87.125441, -87.124288, -87.118605, -87.115781, -87.1139, -87.111244, -87.10548, -87.102961, -87.099572, -87.09518, -87.09356, -87.092743, -87.090962, -87.088487, -87.088817, -87.090535, -87.09105, -87.093759, -87.093816, -87.097631, -87.097919, 
-87.095348, -87.094919, -87.093316, -87.09242, -87.092563, -87.091797, -87.090618, -87.088983, -87.088449, -87.089241, -87.087587, -87.085957, -87.085333, -87.082239, -87.082798, -87.081273, -87.079244, -87.076668, -87.075161, -87.074779, -87.073611, -87.07374, -87.075756, -87.076236, -87.075057, -87.072507, -87.07326, -87.072272, -87.072311, -87.07376, -87.072959, -87.072332, -87.070259, -87.018026, -87.017453, -87.017544, -87.017639, -87.017691, -87.01749, -86.942519, -86.942202, -86.938118, -86.92368, 
-86.904221, -86.888684, -86.865985, -86.791497, -86.791316, -86.79307, -86.7979, -86.803177, -86.803116, -86.802169, -86.803611, -86.802158, -86.801947, -86.802692, -86.800283, -86.798317, -86.798928, -86.798348, -86.799538, -86.798453, -86.798363, -86.796679, -86.795333, -86.797642, -86.797526, -86.798942, -86.800848, -86.801524, -86.801029, -86.802512, -86.803111, -86.804805, -86.804517, -86.806271, -86.805343, -86.803413, -86.801987, -86.800424, -86.799451, -86.79979, -86.802511, -86.802879, -86.798799, 
-86.797554, -86.798526, -86.79749, -86.794963, -86.795083, -86.797739, -86.802331, -86.806985, -86.807151, -86.804792, -86.804893, -86.803394, -86.804057, -86.800542, -86.799173, -86.798063, -86.795934, -86.797295, -86.79615, -86.794822, -86.794136, -86.794489, -86.792448, -86.790404, -86.789142, -86.786376, -86.784425, -86.784352, -86.786603, -86.788097, -86.787836, -86.785358, -86.785027, -86.783986, -86.782855, -86.782941, -86.780347, -86.778134, -86.77528, -86.772852, -86.772782, -86.770177, 
-86.76861, -86.768105, -86.769724, -86.768432, -86.769284, -86.767213, -86.767706, -86.769452, -86.769863, -86.769225, -86.769751, -86.771437, -86.772722, -86.771903, -86.773106, -86.775823, -86.777541, -86.780759, -86.778983, -86.778372, -86.775413, -86.774175, -86.773986, -86.772455, -86.771649, -86.770366, -86.769795, -86.768201, -86.768924, -86.766871, -86.765205, -86.767352, -86.771604, -86.774895, -86.775274, -86.776961, -86.779128, -86.780611, -86.78072, -86.778786, -86.782628, -86.779193, 
-86.780279, -86.779681, -86.782129, -86.782641, -86.784361, -86.786901, -86.78515, -86.781851, -86.780103, -86.77971, -86.782562, -86.783088, -86.779047, -86.777278, -86.776947, -86.77487, -86.7757, -86.774401, -86.770927, -86.767927, -86.767158, -86.76707, -86.768318, -86.771333, -86.774264, -86.777189, -86.780986, -86.781981, -86.78042, -86.776292, -86.775784, -86.776581, -86.776612, -86.775806, -86.775419, -86.775962, -86.777865, -86.775103, -86.773899, -86.774209, -86.773095, -86.771259, -86.772273, 
-86.775606, -86.778336, -86.784869, -86.78682, -86.788066, -86.790518, -86.791483, -86.791724, -86.795113, -86.796405, -86.798293, -86.800709, -86.802448, -86.800983, -86.801931, -86.805543, -86.808271, -86.811685, -86.8134847074746, -86.8146776831273, -86.815267, -86.820071, -86.823491, -86.835161, -86.849027, -86.85595, -86.863224, -86.869029, -86.875874, -86.879364, -86.88648, -86.89029, -86.901983, -86.9072606023925, -86.906725, -86.910657, -86.943614, -86.943635, -86.955514, -86.957067, -86.958646, 
-86.966958, -86.966862, -86.999704, -86.999718, -87.018081, -87.018012, -87.018065, -87.035652, -87.059644, -87.081944, -87.091426, -87.14995, -87.149973, -87.194662, -87.191776, 37.991904, 37.993075, 37.996518, 37.999305, 38.000747, 38.002759, 38.000676, 38.002662, 38.004744, 38.006712, 38.007194, 38.007266, 38.008162, 38.010158, 38.010774, 38.009714, 38.009491, 38.010923, 38.013162, 38.016414, 38.017801, 38.018469, 38.01851, 38.017947, 38.01705, 38.017677, 38.019496, 38.020551, 38.023577, 38.025013, 
38.026581, 38.026987, 38.026666, 38.028245, 38.029522, 38.030947, 38.032781, 38.032535, 38.031132, 38.029958, 38.029988, 38.031483, 38.033066, 38.036191, 38.037481, 38.039171, 38.041563, 38.044929, 38.046738, 38.047769, 38.050448, 38.053588, 38.054303, 38.059002, 38.058778, 38.057057, 38.055441, 38.055231, 38.05454, 38.051747, 38.049857, 38.04792, 38.045684, 38.04414, 38.043909, 38.045411, 38.046903, 38.047002, 38.046254, 38.046992, 38.046469, 38.0486, 38.048314, 38.050359, 38.049111, 38.04869, 38.049682, 
38.053118, 38.053416, 38.055146, 38.054371, 38.056107, 38.056776, 38.059328, 38.064631, 38.066308, 38.068711, 38.071035, 38.074408, 38.078162, 38.080272, 38.080815, 38.081931, 38.082755, 38.08552, 38.086434, 38.088808, 38.089847, 38.092819, 38.094265, 38.093911, 38.096292, 38.096409, 38.09905, 38.100379, 38.101283, 38.101929, 38.104005, 38.106132, 38.106603, 38.109536, 38.111101, 38.112665, 38.113846, 38.117267, 38.11828, 38.118083, 38.118283, 38.118301, 38.13664, 38.160094, 38.17028, 38.20358, 38.20293, 
38.202924, 38.203115, 38.203028, 38.204103, 38.204453, 38.204962, 38.20513, 38.180071, 38.18063, 38.180349, 38.181637, 38.17802, 38.176579, 38.174526, 38.173309, 38.172068, 38.170379, 38.168408, 38.168052, 38.165736, 38.164459, 38.16263, 38.161673, 38.160175, 38.160051, 38.157356, 38.156289, 38.15424, 38.152009, 38.15258, 38.151719, 38.149583, 38.148491, 38.147075, 38.147485, 38.145503, 38.142837, 38.141876, 38.141732, 38.140014, 38.1396, 38.137543, 38.13628, 38.13537, 38.134335, 38.131864, 38.129943, 
38.12863, 38.127086, 38.125869, 38.123412, 38.121914, 38.121176, 38.118474, 38.117839, 38.117107, 38.115953, 38.114654, 38.113347, 38.110657, 38.112315, 38.111956, 38.1135, 38.114823, 38.115626, 38.114869, 38.115435, 38.116997, 38.116644, 38.112778, 38.111291, 38.112424, 38.110364, 38.109681, 38.107099, 38.106329, 38.104707, 38.104187, 38.102512, 38.104131, 38.103748, 38.102047, 38.101531, 38.102717, 38.105052, 38.105562, 38.10201, 38.101622, 38.102794, 38.100123, 38.098764, 38.097493, 38.09549, 
38.094347, 38.091764, 38.090634, 38.088884, 38.087316, 38.086556, 38.08763, 38.087531, 38.085539, 38.083109, 38.081654, 38.080001, 38.078443, 38.077288, 38.075381, 38.072162, 38.069176, 38.06763, 38.06637, 38.063813, 38.063088, 38.061389, 38.060631, 38.059072, 38.058093, 38.058344, 38.056924, 38.055572, 38.053699, 38.052524, 38.05197, 38.053317, 38.053043, 38.052025, 38.05007, 38.048438, 38.04723, 38.045508, 38.04388, 38.042474, 38.044247, 38.043373, 38.040541, 38.038561, 38.040418, 38.040108, 38.037619, 
38.037235, 38.036199, 38.035599, 38.033339, 38.030753, 38.03245, 38.034021, 38.033877, 38.031108, 38.030702, 38.030178, 38.029178, 38.029454, 38.028587, 38.029289, 38.029232, 38.028212, 38.026171, 38.02442, 38.024723, 38.024042, 38.022273, 38.019893, 38.018294, 38.015186, 38.01198, 38.010055, 38.010637, 38.009168, 38.006566, 38.005506, 38.000972, 37.998276, 37.998196, 37.999343, 37.999939, 38.000682, 38.001766, 38.003628, 38.005505, 38.009233, 38.012833, 38.014794, 38.015528, 38.014854, 38.013201, 
38.010473, 38.007402, 38.002879, 38.000945, 38.000446, 37.9981700594416, 37.9986432493709, 37.998877, 37.999392, 37.998939, 37.99375, 37.99002, 37.987292, 37.982495, 37.976894, 37.97077, 37.969268, 37.963069, 37.957426, 37.946448, 37.9433267676648, 37.971804, 37.975001, 37.975461, 37.971984, 37.971883, 37.972315, 37.97191, 37.972027, 37.975719, 37.976473, 37.972812, 37.973061, 37.965767, 37.959688, 37.959678, 37.959335, 37.959338, 37.959437, 37.959618, 37.988761, 37.989574, 37.991904)))"
Northeastern Wayne Schools,8375,18,08190,9700000US1808190,1808190,IN,Indiana,00,246576920,556004,"list(list(c(-85.053481, -85.034505, -84.958762, -84.930252, -84.893172, -84.892846, -84.886619, -84.867104, -84.8109329724325, -84.811212, -84.811536425275, -84.8121895345384, -84.812193, -84.812357, -84.812411, -84.8125776726808, -84.839788, -84.846438, -84.869451, -84.887761, -84.916268, -84.916688, -84.926195, -84.92998, -84.929748, -84.936175, -84.939352, -84.939548, -84.958248, -84.995952, -84.995898, -84.996184, -85.005586, -85.005543, -85.017173, -85.034034, -85.0342, -85.052907, -85.053172, 
-85.053481, 40.004809, 40.004842, 40.005278, 40.005311, 40.005162, 40.006357, 40.006289, 40.006018, 40.0050789145627, 39.995331, 39.9728457819829, 39.9275801836874, 39.92734, 39.921764, 39.916916, 39.9022052485121, 39.902473, 39.90289, 39.902832, 39.902848, 39.903199, 39.873335, 39.87332, 39.87338, 39.874438, 39.87442, 39.87441, 39.874409, 39.874336, 39.874282, 39.875209, 39.90339, 39.903336, 39.917896, 39.917407, 39.917769, 39.932349, 39.932297, 39.946826, 40.004809)))"
Linton-Stockton School Corporation,2950,18,05910,9700000US1805910,1805910,IN,Indiana,00,93385210,1599153,"list(list(c(-87.240918, -87.185374, -87.129126, -87.129189, -87.129179, -87.129216, -87.129278, -87.148197, -87.148341, -87.240797, -87.240803, -87.240488, -87.240518, -87.240753, -87.240804, -87.240846, -87.240918, 39.084397, 39.083178, 39.082078, 39.04405, 39.030891, 39.0236, 38.994616, 38.994656, 38.994657, 38.994483, 39.000125, 39.000863, 39.007536, 39.009056, 39.030875, 39.038332, 39.084397)))"
Eastern Hancock County Community School Corporation,3145,18,03120,9700000US1803120,1803120,IN,Indiana,00,248784782,473754,"list(list(c(-85.726798, -85.707876, -85.708389, -85.708591, -85.708357, -85.709693, -85.691138, -85.692245, -85.692352, -85.687643, -85.673788, -85.673123, -85.576192, -85.576331, -85.576552, -85.576606, -85.57666, -85.576798, -85.578667, -85.591137, -85.596678, -85.596697, -85.59688, -85.596916, -85.633491, -85.632654, -85.633228, -85.705662, -85.706419, -85.72539, -85.72636, -85.72678, -85.726898, -85.726798, 39.785296, 39.785543, 39.81474, 39.824749, 39.825504, 39.872425, 39.87261, 39.930846, 
39.945446, 39.945519, 39.945637, 39.94554, 39.945756, 39.916501, 39.901918, 39.896083, 39.887298, 39.872808, 39.872754, 39.872762, 39.872926, 39.866425, 39.791901, 39.786519, 39.786177, 39.742038, 39.698462, 39.69887, 39.698738, 39.69885, 39.757282, 39.783227, 39.785287, 39.785296)))"
