corp_id,corp_name,schl_id,schl_name,ela_prof_pct
0015,Adams Central Community Schools,0013,Adams Central Middle School,0.526
0015,Adams Central Community Schools,0020,Adams Central Elementary School,0.432
0025,North Adams Community Schools,0033,Bellmont Middle School,0.412
0025,North Adams Community Schools,0037,Bellmont Elementary,0.33
0035,South Adams Schools,0017,South Adams Middle School,0.419
0035,South Adams Schools,0025,South Adams Elementary School,0.376
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,0.755
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,0.382
0125,MSD Southwest Allen County Schls,0063,Summit Middle School,0.452
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0.505
0125,MSD Southwest Allen County Schls,0067,Woodside Middle School,0.432
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0.529
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,0.548
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0.401
0125,MSD Southwest Allen County Schls,0188,eSACS Virtual School,0.471
0225,Northwest Allen County Schools,0069,Arcola School,0.617
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,0.573
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,0.43
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,0.405
0225,Northwest Allen County Schools,0090,Carroll Middle School,0.473
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,0.466
0225,Northwest Allen County Schools,0094,Oak View Elementary School,0.628
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,0.559
0225,Northwest Allen County Schools,0096,Eel River Elementary School,0.445
0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,0.487
0235,Fort Wayne Community Schools,0107,Blackhawk Middle School,0.403
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,0.343
0235,Fort Wayne Community Schools,0119,Jefferson Middle School,0.236
0235,Fort Wayne Community Schools,0121,Kekionga Middle School,0.185
0235,Fort Wayne Community Schools,0125,Lakeside Middle School,0.234
0235,Fort Wayne Community Schools,0126,Lane Middle School,0.18
0235,Fort Wayne Community Schools,0127,Memorial Park Middle School,0.36
0235,Fort Wayne Community Schools,0128,Miami Middle School,0.152
0235,Fort Wayne Community Schools,0129,Northwood Middle School,0.232
0235,Fort Wayne Community Schools,0133,Portage Middle School,0.159
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,0.45
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,0.194
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,0.076
0235,Fort Wayne Community Schools,0141,Adams Elementary School,0.135
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,0.184
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,0.171
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,0.748
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,0.248
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,0.363
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,0.358
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,0.208
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,0.202
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,0.429
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,0.238
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,0.38
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,0.407
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,0.267
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,0.34
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,0.163
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,0.307
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,0.239
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.36
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,0.177
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,0.247
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.065
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,0.127
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.093
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.255
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,0.288
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,0.485
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,0.31
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,0.32
0255,East Allen County Schools,0043,Prince Chapman Academy,0.14
0255,East Allen County Schools,0049,Leo Junior/Senior High School,0.63
0255,East Allen County Schools,0053,Leo Elementary School,0.684
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,0.414
0255,East Allen County Schools,0281,Heritage Elementary School,0.418
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,0.416
0255,East Allen County Schools,0291,Cedarville Elementary School,0.79
0255,East Allen County Schools,0294,Paul Harding Jr High School,0.257
0255,East Allen County Schools,0297,New Haven Jr/Sr High School,0.345
0255,East Allen County Schools,0305,New Haven Intermediate School,0.33
0255,East Allen County Schools,0323,Woodlan Elementary School,0.492
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,0.267
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,0.718
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,0.267
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,0.443
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,0.422
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,0.453
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,0.317
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,0.366
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,0.29
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,0.278
0365,Bartholomew Con School Corp,0390,Central Middle School,0.371
0365,Bartholomew Con School Corp,0392,Southside Elementary School,0.594
0365,Bartholomew Con School Corp,0395,Northside Middle School,0.417
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,0.456
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,0.338
0395,Benton Community School Corp,0421,Otterbein Elementary School,0.346
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,0.339
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,0.287
0515,Blackford County Schools,0489,Blackford Jr-Sr High School,0.422
0515,Blackford County Schools,0494,Blackford Intermediate School,0.309
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,0.536
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,0.594
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,0.508
0630,Zionsville Community Schools,0510,Zionsville West Middle School,0.608
0630,Zionsville Community Schools,0511,Zionsville Middle School,0.664
0630,Zionsville Community Schools,0514,Eagle Elementary School,0.735
0630,Zionsville Community Schools,0517,Zionsville Pleasant View Elem Sch,0.727
0630,Zionsville Community Schools,0541,Union Elementary School,0.593
0630,Zionsville Community Schools,0542,Stonegate Elementary,0.635
0630,Zionsville Community Schools,0544,Boone Meadow,0.695
0630,Zionsville Community Schools,0546,Trailside Elementary School,0.588
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,0.48
0665,Lebanon Community School Corp,0557,Lebanon Middle School,0.386
0665,Lebanon Community School Corp,0561,Central Elementary School,0.559
0665,Lebanon Community School Corp,0565,Harney Elementary School,0.252
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,0.279
0670,Brown County School Corporation,0577,Van Buren Elementary School,0.461
0670,Brown County School Corporation,0581,Helmsburg Elementary School,0.377
0670,Brown County School Corporation,0585,Sprunica Elementary School,0.439
0670,Brown County School Corporation,0587,Brown County Middle School,0.405
0750,Carroll Consolidated School Corp,0623,Carroll Junior High School,0.404
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,0.41
0755,Delphi Community School Corp,0609,Delphi Community Middle School,0.399
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,0.347
