corp_id,corp_name,schl_id,schl_name,ss_prof_pct
0015,Adams Central Community Schools,0020,Adams Central Elementary School,0.354
0025,North Adams Community Schools,0037,Bellmont Elementary,0.242
0035,South Adams Schools,0025,South Adams Elementary School,0.378
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,0.733
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,0.351
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0.558
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0.6
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,0.6
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0.435
0225,Northwest Allen County Schools,0069,Arcola School,0.697
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,0.623
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,0.434
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,0.627
0225,Northwest Allen County Schools,0094,Oak View Elementary School,0.663
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,0.742
0225,Northwest Allen County Schools,0096,Eel River Elementary School,0.619
0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,0.438
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,0.25
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,0.561
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,0.109
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,0.04
0235,Fort Wayne Community Schools,0141,Adams Elementary School,0.047
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,0.073
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,0.19
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,0.747
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,0.192
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,0.28
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,0.24
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,0.22
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,0.133
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,0.328
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,0.137
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,0.298
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,0.184
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,0.123
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,0.259
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,0.161
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,0.31
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,0.281
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.346
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,0.467
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.018
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,0.118
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.047
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.229
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,0.188
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,0.263
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,0.203
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,0.365
0255,East Allen County Schools,0043,Prince Chapman Academy,0.088
0255,East Allen County Schools,0053,Leo Elementary School,0.602
0255,East Allen County Schools,0281,Heritage Elementary School,0.519
0255,East Allen County Schools,0305,New Haven Intermediate School,0.326
