corp_id,corp_name,schl_id,schl_name,pct_bmk
0015,Adams Central Community Schools,0021,Adams Central High School,0.398
0025,North Adams Community Schools,0029,Bellmont Senior High School,0.293
0035,South Adams Schools,0023,South Adams High School,0.207
0125,MSD Southwest Allen County Schls,0047,Homestead High School,0.47
0125,MSD Southwest Allen County Schls,0188,eSACS Virtual School,0.273
0225,Northwest Allen County Schools,0091,Carroll High School,0.503
0235,Fort Wayne Community Schools,0101,North Side High School,0.091
0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,0.179
0235,Fort Wayne Community Schools,0105,South Side High School,0.073
0235,Fort Wayne Community Schools,0177,Wayne High School,0.14
0235,Fort Wayne Community Schools,0219,Northrop High School,0.182
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,0
0255,East Allen County Schools,0049,Leo Junior/Senior High School,0.419
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,0.203
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,0.277
0255,East Allen County Schools,0297,New Haven Jr/Sr High School,0.077
0255,East Allen County Schools,0394,East Allen University,0.4
0365,Bartholomew Con School Corp,0397,Columbus North High School,0.373
0365,Bartholomew Con School Corp,0399,Columbus East High School,0.305
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,0.328
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,0.281
0515,Blackford County Schools,0489,Blackford Jr-Sr High School,0.198
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,0.262
0630,Zionsville Community Schools,0512,Zionsville Community High School,0.629
0665,Lebanon Community School Corp,0553,Lebanon Senior High School,0.333
0670,Brown County School Corporation,0573,Brown County High School,0.217
0750,Carroll Consolidated School Corp,0621,Carroll Senior High School,0.325
0755,Delphi Community School Corp,0637,Delphi Community High School,0.284
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,0.246
0815,Lewis Cass Schools,0689,Lewis Cass High School,0.187
0875,Logansport Community Sch Corp,0701,Logansport Community High School,0.161
0875,Logansport Community Sch Corp,0719,The Academy at Logansport Community School,0.1
0935,Borden-Henryville School Corporation,0765,Henryville Jr & Sr High School,0.154
0935,Borden-Henryville School Corporation,0813,William W Borden High School,0.216
0945,Silver Creek School Corporation,0777,Silver Creek High School,0.301
1000,Clarksville Community School Corp,0833,Clarksville Senior High School,0.156
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.073
1010,Greater Clark County Schools,0809,New Washington Middle/High School,0.115
1010,Greater Clark County Schools,0821,Charlestown Senior High School,0.136
1010,Greater Clark County Schools,0849,Jeffersonville High School,0.17
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,0.302
1125,Clay Community Schools,0933,Northview High School,0.239
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,0.339
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,0.275
1170,Community Schools of Frankfort,0997,Frankfort High School,0.108
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,0.475
1300,Crawford County Community Sch Corp,1049,Crawford County Virtual Academy,0
1300,Crawford County Community Sch Corp,1059,Crawford County High School,0.203
