corp_id,corp_name,schl_id,schl_name,iread_pct,math_prof_pct,ela_prof_pct,sc_prof_pct,ss_prof_pct,bio_prof_pct,sat_bmk_pct
0015,Adams Central Community Schools,0013,Adams Central Middle School,NA,0.583,0.526,0.49,NA,NA,NA
0015,Adams Central Community Schools,0020,Adams Central Elementary School,0.888,0.5,0.432,0.386,0.354,NA,NA
0025,North Adams Community Schools,0033,Bellmont Middle School,NA,0.326,0.412,0.319,NA,NA,NA
0025,North Adams Community Schools,0037,Bellmont Elementary,0.72,0.326,0.33,0.273,0.242,NA,NA
0035,South Adams Schools,0017,South Adams Middle School,NA,0.404,0.419,0.426,NA,NA,NA
0035,South Adams Schools,0025,South Adams Elementary School,0.93,0.574,0.376,0.33,0.378,NA,NA
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,0.964,0.731,0.755,0.708,0.733,NA,NA
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,0.851,0.44,0.382,0.434,0.351,NA,NA
0125,MSD Southwest Allen County Schls,0063,Summit Middle School,NA,0.45,0.452,0.56,NA,NA,NA
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0.909,0.625,0.505,0.461,0.558,NA,NA
0125,MSD Southwest Allen County Schls,0067,Woodside Middle School,NA,0.402,0.432,0.473,NA,NA,NA
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0.85,0.556,0.529,0.481,0.6,NA,NA
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,0.945,0.656,0.548,0.477,0.6,NA,NA
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0.73,0.494,0.401,0.418,0.435,NA,NA
0125,MSD Southwest Allen County Schls,0188,eSACS Virtual School,NA,0.118,0.471,NA,NA,0.182,0.273
0225,Northwest Allen County Schools,0069,Arcola School,0.917,0.636,0.617,0.436,0.697,NA,NA
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,NA,0.444,0.573,0.545,NA,NA,NA
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,0.931,0.587,0.43,0.493,0.623,NA,NA
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,0.876,0.42,0.405,0.506,0.434,NA,NA
0225,Northwest Allen County Schools,0090,Carroll Middle School,NA,0.371,0.473,0.407,NA,NA,NA
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,0.994,0.595,0.466,0.574,0.627,NA,NA
0225,Northwest Allen County Schools,0094,Oak View Elementary School,0.84,0.688,0.628,0.506,0.663,NA,NA
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,NA,0.699,0.559,0.44,0.742,NA,NA
0225,Northwest Allen County Schools,0096,Eel River Elementary School,0.849,0.572,0.445,0.394,0.619,NA,NA
0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,0.918,0.528,0.487,0.363,0.438,NA,NA
0235,Fort Wayne Community Schools,0107,Blackhawk Middle School,NA,0.384,0.403,0.377,NA,NA,NA
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,0.738,0.227,0.343,0.388,0.25,NA,NA
0235,Fort Wayne Community Schools,0119,Jefferson Middle School,NA,0.294,0.236,0.359,NA,NA,NA
0235,Fort Wayne Community Schools,0121,Kekionga Middle School,NA,0.112,0.185,0.172,NA,NA,NA
0235,Fort Wayne Community Schools,0125,Lakeside Middle School,NA,0.169,0.234,0.247,NA,NA,NA
0235,Fort Wayne Community Schools,0126,Lane Middle School,NA,0.088,0.18,0.182,NA,NA,NA
0235,Fort Wayne Community Schools,0127,Memorial Park Middle School,NA,0.318,0.36,0.291,NA,NA,NA
0235,Fort Wayne Community Schools,0128,Miami Middle School,NA,0.079,0.152,0.113,NA,NA,NA
0235,Fort Wayne Community Schools,0129,Northwood Middle School,NA,0.179,0.232,0.253,NA,NA,NA
0235,Fort Wayne Community Schools,0133,Portage Middle School,NA,0.121,0.159,0.154,NA,NA,NA
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,0.834,0.43,0.45,0.41,0.561,NA,NA
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,NA,0.261,0.194,0.153,0.109,NA,NA
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,NA,0.049,0.076,0.087,0.04,NA,NA
0235,Fort Wayne Community Schools,0141,Adams Elementary School,0.385,0.089,0.135,0.105,0.047,NA,NA
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,0.734,0.191,0.184,0.111,0.073,NA,NA
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,0.671,0.194,0.171,0.151,0.19,NA,NA
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,0.971,0.812,0.748,0.789,0.747,NA,NA
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,0.697,0.278,0.248,0.138,0.192,NA,NA
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,0.786,0.399,0.363,0.208,0.28,NA,NA
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,0.778,0.416,0.358,0.37,0.24,NA,NA
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,0.669,0.211,0.208,0.168,0.22,NA,NA
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,0.609,0.283,0.202,0.211,0.133,NA,NA
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,0.906,0.434,0.429,0.266,0.328,NA,NA
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,0.687,0.262,0.238,0.125,0.137,NA,NA
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,0.865,0.453,0.38,0.234,0.298,NA,NA
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,0.785,0.319,0.407,0.273,0.184,NA,NA
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,0.703,0.267,0.267,0.157,0.123,NA,NA
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,0.788,0.424,0.34,0.256,0.259,NA,NA
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,0.626,0.212,0.163,0.094,0.161,NA,NA
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,0.747,0.328,0.307,0.23,0.31,NA,NA
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,0.673,0.289,0.239,0.179,0.281,NA,NA
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.844,0.395,0.36,0.265,0.346,NA,NA
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,NA,0.149,0.177,0.14,NA,NA,NA
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,NA,0.152,0.247,0.231,0.467,0.167,0
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.453,0.142,0.065,0.073,0.018,NA,NA
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,NA,0.133,0.127,0.055,0.118,NA,NA
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.565,0.1,0.093,0.023,0.047,NA,NA
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.76,0.245,0.255,0.156,0.229,NA,NA
