corp_id,corp_name,typ,address,county,NAME,geometry
1125,Clay Community Schools,School Corporation,"1013 S Forest Ave, Brazil, IN, 47834",Clay,Clay Community Schools,"c(-87.1258185, 39.5134146)"
1150,Clinton Central School Corporation,School Corporation,"Box 118, Michigantown, IN, 46057",Clinton,Clinton Central School Corporation,"c(-86.3782198, 40.2931784)"
1160,Clinton Prairie School Corporation,School Corporation,"2390 S CR 450 W, Frankfort, IN, 46041",Clinton,Clinton Prairie School Corporation,"c(-86.5920065, 40.2512842)"
1170,Community Schools of Frankfort,School Corporation,"2400 E Wabash Ave, Frankfort, IN, 46041",Clinton,Frankfort Community Schools,"c(-86.4815614, 40.2794796)"
1180,Rossville Consolidated School District,School Corporation,"PO Box 11, Rossville, IN, 46065",Clinton,Rossville Consolidated School District,"c(-86.5947239, 40.4169804)"
1300,Crawford County Community School Corporation,School Corporation,"5805 E Administration Rd, Marengo, IN, 47140",Crawford,Crawford County Community School Corporation,"c(-86.3524126, 38.3216566)"
1315,Barr-Reeve Community Schools Incorporated,School Corporation,"Box 97, Montgomery, IN, 47558",Daviess,Barr-Reeve Community School Corporation,"c(-87.0491666, 38.6682821)"
1375,North Daviess Community Schools,School Corporation,"5494 E SR 58, Elnora, IN, 47529",Daviess,North Daviess Community Schools,"c(-87.0620062, 38.8474234)"
1405,Washington Community Schools,School Corporation,"301 E South St, Washington, IN, 47501",Daviess,Washington Community School Corporation,"c(-87.172009, 38.6558995)"
1560,Sunman-Dearborn Community School Corporation,School Corporation,"1 Trojan Place Ste B, St Leon, IN, 47012",Dearborn,Sunman-Dearborn Community School Corporation,"c(-84.9741916, 39.2792271)"
1600,South Dearborn Community School Corporation,School Corporation,"6109 Squire Pl, Aurora, IN, 47001",Dearborn,South Dearborn Community School Corporation,"c(-84.9325662, 39.0631857)"
1620,Lawrenceburg Community School Corporation,School Corporation,"300 Tiger Blvd, Lawrenceburg, IN, 47025",Dearborn,Lawrenceburg Community School Corporation,"c(-84.8523647, 39.1005011)"
1655,Decatur County Community Schools,School Corporation,"2020 N Montgomery Rd, Greensburg, IN, 47240",Decatur,Greensburg Community Schools,"c(-85.4695443, 39.3576501)"
