IDOE_SCHOOL_ID,SCHOOL_NAME,PRINCIPAL_TITLE,PRINCIPAL_FIRST_NAME,PRINCIPAL_LAST_NAME,PRINCIPAL_EMAIL,ADDRESS,CITY,STATE,ZIP,COUNTY_NAME,PHONE,FAX,LOW_GRADE,HIGH_GRADE,SCHOOL_HOMEPAGE,lon,lat,coord,type
0013,Adams Central Middle School,NA,Katie,Isch,ischk@accs.k12.in.us,222 W Washington St,Monroe,IN,46772,Adams,(260) 692-6151,(260) 692-6192,06,08,http://www.accs.k12.in.us/,-84.941778,40.7466331,40.7466331+-84.941778,p
0020,Adams Central Elementary School,NA,Mary,McCullough,mccullom@accs.k12.in.us,222 W Washington St,Monroe,IN,46772,Adams,(260) 692-6629,(260) 692-6148,PK,05,http://www.accs.k12.in.us/,-84.941778,40.7466331,40.7466331+-84.941778,p
0021,Adams Central High School,NA,Katrina,Isch,ischk@accs.k12.in.us,222 W Washington St,Monroe,IN,46772,Adams,(260) 692-6151,(260) 692-6192,09,12,http://www.accs.k12.in.us/,-84.941778,40.7466331,40.7466331+-84.941778,p
0029,Bellmont Senior High School,NA,Kayla,Todd,toddk@nadams.k12.in.us,1000 North Adams Dr,Decatur,IN,46733,Adams,(260) 724-7121,(260) 724-7826,09,12,https://www.nadams.k12.in.us/bhs,-84.91473739999999,40.834901,40.834901+-84.9147374,p
0033,Bellmont Middle School,NA,Kristie,Schlemmer,schlemmerk@nadams.k12.in.us,1200 North Adams Dr,Decatur,IN,46733,Adams,(260) 724-3137,(260) 724-4495,06,08,https://www.nadams.k12.in.us/bms,-84.9107726,40.83489,40.83489+-84.9107726,p
0037,Bellmont Elementary,NA,Aaron,Baker,bakera@nadams.k12.in.us,1200 North Adams Drive,Decatur,IN,46733,Adams,(260) 724-3633,(260) 724-9247,PK,05,https://www.nadams.k12.in.us/nw,-84.9107726,40.83489,40.83489+-84.9107726,p
0017,South Adams Middle School,NA,Andrew,Schmit,aschmit@southadams.k12.in.us,1212 Starfire Way,Berne,IN,46711,Adams,(260) 589-1102,(260) 589-2112,06,08,http://www.southadams.k12.in.us/Middle.cfm,-84.9592768,40.6471358,40.6471358+-84.9592768,p
0023,South Adams High School,NA,Cory,Runkle,crunkle@southadams.k12.in.us,1000 Parkway St,Berne,IN,46711,Adams,(260) 589-3131,(260) 589-3042,09,12,http://www.southadams.k12.in.us/High.cfm,-84.9610684,40.6436692,40.6436692+-84.9610684,p
0025,South Adams Elementary School,NA,Shellie,Miller,smiller@southadams.k12.in.us,1012 Starfire Way,Berne,IN,46711,Adams,(260) 589-1101,(260) 589-2112,PK,05,http://www.southadams.k12.in.us/Elementary.cfm,-84.95980829999999,40.6471349,40.6471349+-84.9598083,p
0045,Aboite Elementary School,NA,Richelle,Miller,rjmiller@sacs.k12.in.us,5004 Homestead Rd,Fort Wayne,IN,46814,Allen,(260) 431-2101,(260) 431-2199,KG,05,http://www.sacs.k12.in.us,-85.28607590000001,41.0387169,41.0387169+-85.2860759,p
