corp_id,corp_name,schl_id,schl_name,bio_prof_pct
0015,Adams Central Community Schools,0021,Adams Central High School,0.374
0025,North Adams Community Schools,0029,Bellmont Senior High School,0.545
0035,South Adams Schools,0023,South Adams High School,0.48
0125,MSD Southwest Allen County Schls,0047,Homestead High School,0.6
0125,MSD Southwest Allen County Schls,0188,eSACS Virtual School,0.182
0225,Northwest Allen County Schools,0091,Carroll High School,0.54
0235,Fort Wayne Community Schools,0101,North Side High School,0.107
0235,Fort Wayne Community Schools,0102,R Nelson Snider High School,0.139
0235,Fort Wayne Community Schools,0105,South Side High School,0.092
0235,Fort Wayne Community Schools,0177,Wayne High School,0.184
0235,Fort Wayne Community Schools,0219,Northrop High School,0.219
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,0.167
0255,East Allen County Schools,0049,Leo Junior/Senior High School,0.369
0255,East Allen County Schools,0081,Heritage Jr/Sr High School,0.233
0255,East Allen County Schools,0285,Woodlan Jr/Sr High School,0.278
0255,East Allen County Schools,0297,New Haven Jr/Sr High School,0.112
0255,East Allen County Schools,0394,East Allen University,0.235
0365,Bartholomew Con School Corp,0390,Central Middle School,0.877
0365,Bartholomew Con School Corp,0395,Northside Middle School,0.913
0365,Bartholomew Con School Corp,0397,Columbus North High School,0.211
0365,Bartholomew Con School Corp,0399,Columbus East High School,0.136
0370,Flat Rock-Hawcreek School Corp,0410,Hauser Jr-Sr High School,0.133
0395,Benton Community School Corp,0445,Benton Central Jr-Sr High School,0.416
0515,Blackford County Schools,0489,Blackford Jr-Sr High School,0.345
0615,Western Boone Co Com Sch Dist,0539,Western Boone Jr-Sr High School,0.387
0630,Zionsville Community Schools,0512,Zionsville Community High School,0.627
0665,Lebanon Community School Corp,0553,Lebanon Senior High School,0.316
0670,Brown County School Corporation,0573,Brown County High School,0.139
0670,Brown County School Corporation,0587,Brown County Middle School,0.5
0750,Carroll Consolidated School Corp,0621,Carroll Senior High School,0.326
0755,Delphi Community School Corp,0637,Delphi Community High School,0.458
0775,Pioneer Regional School Corp,0645,Pioneer Jr-Sr High School,0.376
0815,Lewis Cass Schools,0689,Lewis Cass High School,0.261
0875,Logansport Community Sch Corp,0701,Logansport Community High School,0.22
0875,Logansport Community Sch Corp,0719,The Academy at Logansport Community School,0
0935,Borden-Henryville School Corporation,0765,Henryville Jr & Sr High School,0.207
0935,Borden-Henryville School Corporation,0813,William W Borden High School,0.39
0945,Silver Creek School Corporation,0777,Silver Creek High School,0.3
1000,Clarksville Community School Corp,0833,Clarksville Senior High School,0.157
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.154
1010,Greater Clark County Schools,0809,New Washington Middle/High School,0.308
1010,Greater Clark County Schools,0821,Charlestown Senior High School,0.244
1010,Greater Clark County Schools,0849,Jeffersonville High School,0.217
1010,Greater Clark County Schools,0886,Old Corden Porter School,NA
1125,Clay Community Schools,0897,Clay City Jr-Sr High School,0.265
1125,Clay Community Schools,0933,Northview High School,0.165
1150,Clinton Central School Corporation,0957,Clinton Central Junior-Senior HS,0.198
1160,Clinton Prairie School Corporation,0977,Clinton Prairie Jr-Sr High School,0.375
1170,Community Schools of Frankfort,0997,Frankfort High School,0.147
1180,Rossville Con School District,1021,Rossville Middle/Senior High Sch,0.452
1300,Crawford County Community Sch Corp,1049,Crawford County Virtual Academy,0
1300,Crawford County Community Sch Corp,1059,Crawford County High School,0.207
1315,Barr-Reeve Community Schools Inc,1069,Barr Reeve Middle/High School,0.515
1375,North Daviess Com Schools,1121,North Daviess Jr-Sr High School,0.156
1405,Washington Community Schools,1125,Washington High School,0.03
1560,Sunman-Dearborn Com Sch Corp,7213,East Central High School,0.339
1600,South Dearborn Community Sch Corp,1172,South Dearborn Middle School,0.604
1600,South Dearborn Community Sch Corp,1179,South Dearborn High School,0.059
1620,Lawrenceburg Community School Corp,1177,Lawrenceburg High School,0.126
1620,Lawrenceburg Community School Corp,1209,Greendale Middle School,0.375
1655,Decatur County Community Schools,1263,South Decatur Jr-Sr High School,0.086
1655,Decatur County Community Schools,1267,North Decatur Jr-Sr High School,0.11
1730,Greensburg Community Schools,1268,Greensburg Community High School,0.348
1730,Greensburg Community Schools,1269,Greensburg Community Jr High,1
1805,DeKalb Co Eastern Com Sch Dist,1317,Eastside Junior-Senior High School,0.271
1820,Garrett-Keyser-Butler Com Sch Corp,1325,Garrett High School,0.121
1835,DeKalb Co Ctl United Sch Dist,1345,DeKalb High School,0.266
1875,Delaware Community School Corp,1369,Delta High School,0.36
1885,Wes-Del Community Schools,1372,Wes-Del Middle/Senior High School,0.373
1895,Liberty-Perry Community Sch Corp,1375,Wapahani High School,0.261
1900,Cowan Community School Corp,1386,Cowan High School,0.145
1910,Yorktown Community Schools,1387,Yorktown Middle School,0.885
1910,Yorktown Community Schools,1389,Yorktown High School,0.29
1940,Daleville Community Schools,1401,Daleville Jr-Sr High School,0.346
1970,Muncie Community Schools,1421,Muncie Central High School,0.078
2040,Northeast Dubois Co Sch Corp,1545,Northeast Dubois Jr/Sr High School,0.236
2100,Southeast Dubois Co Sch Corp,1583,Forest Park Jr-Sr High School,0.478
2110,Southwest Dubois Co Sch Corp,1587,Southridge Middle School,0.8
2110,Southwest Dubois Co Sch Corp,1588,Southridge High School,0.297
2120,Greater Jasper Consolidated Schs,1575,Jasper Middle School,0.963
2120,Greater Jasper Consolidated Schs,1593,Jasper High School,0.249
2155,Fairfield Community Schools,1613,Fairfield Jr-Sr High School,0.322
2260,Baugo Community Schools,1701,Jimtown High School,0.299
2270,Concord Community Schools,1713,Concord Junior High School,0.595
2270,Concord Community Schools,1715,Concord Community High School,0.081
2275,Middlebury Community Schools,1733,Northridge High School,0.274
2285,Wa-Nee Community Schools,1737,North Wood High School,0.416
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,0
2305,Elkhart Community Schools,1754,Elkhart High School,0.063
2305,Elkhart Community Schools,1761,West Side Middle School,0.833
2315,Goshen Community Schools,1821,Goshen High School,0.152
2395,Fayette County School Corporation,1889,Connersville Sr High School,0.287
2400,New Albany-Floyd Co Con Sch,1925,New Albany Senior High School,0.339
2400,New Albany-Floyd Co Con Sch,1930,Floyd Central High School,0.482
2435,Attica Consolidated School Corp,2053,Attica High School,0.146
2440,Covington Community School Corp,2005,Covington Community High School,0.338
2455,Southeast Fountain School Corp,2022,Fountain Central High School,0.375
2455,Southeast Fountain School Corp,2458,Southeast Fountain Virtual Academy,NA
2475,Franklin County Community Sch Corp,2083,Franklin County High,0.375
2645,Rochester Community School Corp,2173,Rochester Community High School,0.26
2650,Caston School Corporation,2159,Caston Jr-Sr High School,0.227
2725,East Gibson School Corporation,2233,Waldo J Wood Memorial High,0.143
2735,North Gibson School Corporation,2249,Princeton Community High School,0.151
2765,South Gibson School Corporation,2211,Gibson Southern High School,0.312
2815,Eastbrook Community Sch Corp,2293,Eastbrook High School,0.412
2825,Madison-Grant United School Corp,2321,Madison-Grant Jr./Sr. High School,0.222
2825,Madison-Grant United School Corp,2836,Virtual Preparatory Academy of Indiana at Madison-Grant 6-8,NA
2825,Madison-Grant United School Corp,2838,Virtual Preparatory Academy of Indiana at Madison-Grant 9-12,0.068
2855,Mississinewa Community School Corp,2333,Mississinewa High School,0.057
2855,Mississinewa Community School Corp,2335,R J Baskett Middle School,0.378
2865,Marion Community Schools,2351,Marion High School,0.127
2865,Marion Community Schools,2357,John L McCulloch Junior High Sch,0.298
2920,Bloomfield School District,2419,Bloomfield High School,0.214
2940,Eastern Greene Schools,2435,Eastern Greene High School,0.24
2950,Linton-Stockton School Corporation,2437,Linton-Stockton High School,0.389
2960,MSD Shakamak Schools,2445,Shakamak Jr-Sr High School,0.241
2980,White River Valley School District,2429,White River Valley High School,0.346
3005,Hamilton Southeastern Schools,2487,Fishers High School,0.483
