corp_id,corp_name,schl_id,schl_name,sc_prof_pct
0015,Adams Central Community Schools,0013,Adams Central Middle School,0.49
0015,Adams Central Community Schools,0020,Adams Central Elementary School,0.386
0025,North Adams Community Schools,0033,Bellmont Middle School,0.319
0025,North Adams Community Schools,0037,Bellmont Elementary,0.273
0035,South Adams Schools,0017,South Adams Middle School,0.426
0035,South Adams Schools,0025,South Adams Elementary School,0.33
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,0.708
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,0.434
0125,MSD Southwest Allen County Schls,0063,Summit Middle School,0.56
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0.461
0125,MSD Southwest Allen County Schls,0067,Woodside Middle School,0.473
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0.481
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,0.477
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0.418
0225,Northwest Allen County Schools,0069,Arcola School,0.436
0225,Northwest Allen County Schools,0079,Maple Creek Middle School,0.545
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,0.493
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,0.506
0225,Northwest Allen County Schools,0090,Carroll Middle School,0.407
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,0.574
0225,Northwest Allen County Schools,0094,Oak View Elementary School,0.506
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,0.44
0225,Northwest Allen County Schools,0096,Eel River Elementary School,0.394
0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,0.363
0235,Fort Wayne Community Schools,0107,Blackhawk Middle School,0.377
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,0.388
0235,Fort Wayne Community Schools,0119,Jefferson Middle School,0.359
0235,Fort Wayne Community Schools,0121,Kekionga Middle School,0.172
0235,Fort Wayne Community Schools,0125,Lakeside Middle School,0.247
0235,Fort Wayne Community Schools,0126,Lane Middle School,0.182
0235,Fort Wayne Community Schools,0127,Memorial Park Middle School,0.291
0235,Fort Wayne Community Schools,0128,Miami Middle School,0.113
0235,Fort Wayne Community Schools,0129,Northwood Middle School,0.253
0235,Fort Wayne Community Schools,0133,Portage Middle School,0.154
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,0.41
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,0.153
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,0.087
0235,Fort Wayne Community Schools,0141,Adams Elementary School,0.105
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,0.111
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,0.151
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,0.789
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,0.138
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,0.208
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,0.37
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,0.168
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,0.211
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,0.266
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,0.125
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,0.234
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,0.273
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,0.157
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,0.256
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,0.094
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,0.23
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,0.179
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.265
0235,Fort Wayne Community Schools,0240,Shawnee Middle School,0.14
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,0.231
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.073
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,0.055
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.023
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.156
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,0.338
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,0.485
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,0.311
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,0.179
0255,East Allen County Schools,0043,Prince Chapman Academy,0.083
0255,East Allen County Schools,0053,Leo Elementary School,0.607
0255,East Allen County Schools,0281,Heritage Elementary School,0.331
0255,East Allen County Schools,0305,New Haven Intermediate School,0.284
0255,East Allen County Schools,0323,Woodlan Elementary School,0.37
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,0.175
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,0.45
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,0.234
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,0.44
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,0.407
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,0.427
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,0.239
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,0.25
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,0.167
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,0.2
0365,Bartholomew Con School Corp,0392,Southside Elementary School,0.588
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,0.273
0395,Benton Community School Corp,0421,Otterbein Elementary School,0.429
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,0.281
0515,Blackford County Schools,0494,Blackford Intermediate School,0.286
