corp_id,corp_name,schl_id,schl_name,IREAD_pct
0015,Adams Central Community Schools,0020,Adams Central Elementary School,0.888
0025,North Adams Community Schools,0037,Bellmont Elementary,0.72
0035,South Adams Schools,0025,South Adams Elementary School,0.93
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,0.964
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,0.851
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0.909
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0.85
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,0.945
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0.73
0225,Northwest Allen County Schools,0069,Arcola School,0.917
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,0.931
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,0.876
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,0.994
0225,Northwest Allen County Schools,0094,Oak View Elementary School,0.84
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,NA
0225,Northwest Allen County Schools,0096,Eel River Elementary School,0.849
0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,0.918
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,0.738
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,0.834
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,NA
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,NA
0235,Fort Wayne Community Schools,0141,Adams Elementary School,0.385
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,0.734
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,0.671
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,0.971
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,0.697
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,0.786
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,0.778
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,0.669
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,0.609
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,0.906
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,0.687
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,0.865
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,0.785
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,0.703
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,0.788
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,0.626
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,0.747
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,0.673
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.844
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,NA
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.453
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,NA
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.565
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.76
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,0.802
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,0.838
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,0.822
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,0.693
0255,East Allen County Schools,0043,Prince Chapman Academy,0.616
0255,East Allen County Schools,0281,Heritage Elementary School,0.8
0255,East Allen County Schools,0291,Cedarville Elementary School,0.947
0255,East Allen County Schools,0305,New Haven Intermediate School,0.815
0255,East Allen County Schools,0323,Woodlan Elementary School,0.871
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,0.761
