corp_id,corp_name,in_stlmt_tot,res_nrl,public_xfr_in,public_xfr_out,net_pub_xfr,xfr_ch_schlsp_out,net_xfr,xfr_out_tot,xfr_out_tot_rate,xfr_in_rate,pr_xfr_out_rate,net_xfr_rate,yr
0015,Adams Central Community Schools,1019,933,352,73,279,13,266,86,8,35,1,26,2023-08-01
0025,North Adams Community Schools,2051,1461,99,380,-281,210,-491,590,29,5,10,-24,2023-08-01
0035,South Adams Schools,1288,1200,69,85,-16,3,-19,88,7,5,0,-1,2023-08-01
0125,MSD Southwest Allen County Schls,8308,7629,108,184,-76,495,-571,679,8,1,6,-7,2023-08-01
0225,Northwest Allen County Schools,8881,8071,66,306,-240,504,-744,810,9,1,6,-8,2023-08-01
0235,Fort Wayne Community Schools,35236,27537,25,2540,-2515,5159,-7674,7699,22,0,15,-22,2023-08-01
0255,East Allen County Schools,11171,9044,914,603,311,1524,-1213,2127,19,8,14,-11,2023-08-01
0365,Bartholomew Con School Corp,12281,11086,330,437,-107,758,-865,1195,10,3,6,-7,2023-08-01
0370,Flat Rock-Hawcreek School Corp,848,749,213,84,129,15,114,99,12,25,2,13,2023-08-01
0395,Benton Community School Corp,1780,1537,56,146,-90,97,-187,243,14,3,5,-11,2023-08-01
0515,Blackford County Schools,1752,1446,49,305,-256,1,-257,306,17,3,0,-15,2023-08-01
0615,Western Boone Co Com Sch Dist,1484,1359,230,110,120,15,105,125,8,15,1,7,2023-08-01
0630,Zionsville Community Schools,7778,7580,71,115,-44,83,-127,198,3,1,1,-2,2023-08-01
0665,Lebanon Community School Corp,3775,3355,96,335,-239,85,-324,420,11,3,2,-9,2023-08-01
0670,Brown County School Corporation,1810,1501,52,282,-230,27,-257,309,17,3,1,-14,2023-08-01
0750,Carroll Consolidated School Corp,1101,953,83,136,-53,12,-65,148,13,8,1,-6,2023-08-01
0755,Delphi Community School Corp,1405,1259,102,127,-25,19,-44,146,10,7,1,-3,2023-08-01
0775,Pioneer Regional School Corp,973,889,22,84,-62,0,-62,84,9,2,0,-6,2023-08-01
0815,Lewis Cass Schools,1305,1084,244,219,25,2,23,221,17,19,0,2,2023-08-01
0875,Logansport Community Sch Corp,4378,4131,172,244,-72,3,-75,247,6,4,0,-2,2023-08-01
0935,Borden-Henryville School Corp,2002,1412,253,516,-263,74,-337,590,29,13,4,-17,2023-08-01
0945,Silver Creek School Corporation,3127,2394,673,529,144,204,-60,733,23,22,7,-2,2023-08-01
1000,Clarksville Community School Corp,1413,960,2859,377,2482,76,2406,453,32,202,5,170,2023-08-01
1010,Greater Clark County Schools,11850,9609,404,1727,-1323,514,-1837,2241,19,3,4,-16,2023-08-01
1125,Clay Community Schools,3928,3702,250,220,30,6,24,226,6,6,0,1,2023-08-01
1150,Clinton Central School Corporation,840,688,177,146,31,6,25,152,18,21,1,3,2023-08-01
1160,Clinton Prairie School Corporation,1076,928,253,120,133,28,105,148,14,24,3,10,2023-08-01
1170,Community Schools of Frankfort,3409,2879,79,505,-426,25,-451,530,16,2,1,-13,2023-08-01
1180,Rossville Con School District,826,761,180,36,144,29,115,65,8,22,4,14,2023-08-01
1300,Crawford County Community Sch Corp,1534,1288,43,241,-198,5,-203,246,16,3,0,-13,2023-08-01
1315,Barr-Reeve Community Schools Inc,758,698,322,58,264,2,262,60,8,42,0,35,2023-08-01
1375,North Daviess Com Schools,1011,914,193,87,106,10,96,97,10,19,1,9,2023-08-01
1405,Washington Community Schools,3006,2434,15,379,-364,193,-557,572,19,0,6,-19,2023-08-01
1560,Sunman-Dearborn Com Sch Corp,4001,3496,276,357,-81,148,-229,505,13,7,4,-6,2023-08-01
1600,South Dearborn Community Sch Corp,2471,1813,133,540,-407,118,-525,658,27,5,5,-21,2023-08-01
1620,Lawrenceburg Community School Corp,1819,1647,445,127,318,45,273,172,9,24,2,15,2023-08-01
1655,Decatur County Community Schools,1853,1498,309,332,-23,23,-46,355,19,17,1,-2,2023-08-01
1730,Greensburg Community Schools,2174,1900,151,256,-105,18,-123,274,13,7,1,-6,2023-08-01
1805,DeKalb Co Eastern Com Sch Dist,1227,1083,195,126,69,18,51,144,12,16,1,4,2023-08-01
1820,Garrett-Keyser-Butler Com Sch Corp,1631,1425,266,142,124,64,60,206,13,16,4,4,2023-08-01
1835,DeKalb Co Ctl United Sch Dist,3855,3240,241,404,-163,211,-374,615,16,6,5,-10,2023-08-01
1875,Delaware Community School Corp,2626,2216,385,387,-2,23,-25,410,16,15,1,-1,2023-08-01
1885,Wes-Del Community Schools,727,585,251,128,123,14,109,142,20,35,2,15,2023-08-01
1895,Liberty-Perry Community Sch Corp,930,765,405,157,248,8,240,165,18,44,1,26,2023-08-01
1900,Cowan Community School Corp,528,414,382,108,274,6,268,114,22,72,1,51,2023-08-01
1910,Yorktown Community Schools,2409,2137,582,235,347,37,310,272,11,24,2,13,2023-08-01
1940,Daleville Community Schools,638,496,532,124,408,18,390,142,22,83,3,61,2023-08-01
1970,Muncie Community Schools,7194,4678,183,2370,-2187,146,-2333,2516,35,3,2,-32,2023-08-01
2040,Northeast Dubois Co Sch Corp,775,701,75,68,7,6,1,74,10,10,1,0,2023-08-01
2100,Southeast Dubois Co Sch Corp,1174,1097,112,75,37,2,35,77,7,10,0,3,2023-08-01
2110,Southwest Dubois Co Sch Corp,1808,1712,166,90,76,6,70,96,5,9,0,4,2023-08-01
2120,Greater Jasper Consolidated Schs,3327,3002,168,147,21,178,-157,325,10,5,5,-5,2023-08-01
2155,Fairfield Community Schools,2025,1819,350,179,171,27,144,206,10,17,1,7,2023-08-01
2260,Baugo Community Schools,1709,1490,303,166,137,53,84,219,13,18,3,5,2023-08-01
2270,Concord Community Schools,5102,4546,800,394,406,162,244,556,11,16,3,5,2023-08-01
2275,Middlebury Community Schools,4142,3739,525,316,209,87,122,403,10,13,2,3,2023-08-01
2285,Wa-Nee Community Schools,2851,2652,267,152,115,47,68,199,7,9,2,2,2023-08-01
2305,Elkhart Community Schools,13469,10929,261,1958,-1697,582,-2279,2540,19,2,4,-17,2023-08-01
2315,Goshen Community Schools,6705,5731,457,611,-154,363,-517,974,15,7,5,-8,2023-08-01
2395,Fayette County School Corporation,3333,2969,66,258,-192,106,-298,364,11,2,3,-9,2023-08-01
2400,New Albany-Floyd Co Con Sch,11910,10355,918,979,-61,576,-637,1555,13,8,5,-5,2023-08-01
2435,Attica Consolidated School Corp,558,490,38,63,-25,5,-30,68,12,7,1,-5,2023-08-01
2440,Covington Community School Corp,836,739,83,59,24,38,-14,97,12,10,5,-2,2023-08-01
2455,Southeast Fountain School Corp,1010,903,69,103,-34,4,-38,107,11,7,0,-4,2023-08-01
2475,Franklin County Community Sch Corp,2431,1994,38,288,-250,149,-399,437,18,2,6,-16,2023-08-01
2645,Rochester Community School Corp,1720,1421,118,299,-181,0,-181,299,17,7,0,-11,2023-08-01
2650,Caston School Corporation,750,631,201,119,82,0,82,119,16,27,0,11,2023-08-01
2725,East Gibson School Corporation,900,699,15,190,-175,11,-186,201,22,2,1,-21,2023-08-01
