stlmt_corp_name,stlmt_corp_id,nrl_schl_name,nrl_schl_id,yr,xfr_sqrt,clr,stlmt_lon,stlmt_lat,nrl_lat,nrl_lon,typ,tot_xfr,fillcolor,fname,weight,color,pct_of_xfr,log,minutes
Adams Central Community Schools,0015,Clarksville Community School Corporation,1000,2023,1,#0868ac,-84.941778,40.7466331,38.302952,-85.76037,Public,1,#d95f02,0015-1000,0,NA,1.16,0.14842000511827322,219.85
Adams Central Community Schools,0015,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-84.941778,40.7466331,39.5109654,-86.78998399999999,Public,2,#d95f02,0015-6750,0,NA,2.33,0.8458682675776092,164.75
Adams Central Community Schools,0015,Union School Corporation,6795,2023,2.23606797749979,#0868ac,-84.941778,40.7466331,40.0481017,-85.1251322,Public,5,#d95f02,0015-6795,0,NA,5.81,1.7595805708638197,74.76666666666667
North Adams Community Schools,0025,Clarksville Community School Corporation,1000,2023,3.7416573867739418,#0868ac,-84.9129215,40.8369624,38.302952,-85.76037,Public,14,#d95f02,0025-1000,0,NA,2.37,0.8628899551470398,223.6
North Adams Community Schools,0025,Union School Corporation,6795,2023,3.872983346207417,#0868ac,-84.9129215,40.8369624,40.0481017,-85.1251322,Public,15,#d95f02,0025-6795,0,NA,2.54,0.9321640810304452,86.16666666666667
South Adams Schools,0035,Clarksville Community School Corporation,1000,2023,2,#0868ac,-84.9592768,40.6471358,38.302952,-85.76037,Public,4,#d95f02,0035-1000,0,NA,4.55,1.5151272329628591,221.11666666666667
South Adams Schools,0035,Union School Corporation,6795,2023,2.449489742783178,#0868ac,-84.9592768,40.6471358,40.0481017,-85.1251322,Public,6,#d95f02,0035-6795,0,NA,6.82,1.9198594718553708,65.78333333333333
Metropolitan School District Southwest Allen County Schools,0125,Clarksville Community School Corporation,1000,2023,3,#0868ac,-85.2849648,41.0391371,38.302952,-85.76037,Public,9,#d95f02,0125-1000,0,NA,1.33,0.28517894223366247,209.06666666666666
Metropolitan School District Southwest Allen County Schools,0125,Cloverdale Community Schools,6750,2023,3.605551275463989,#0868ac,-85.2849648,41.0391371,39.5109654,-86.78998399999999,Public,13,#d95f02,0125-6750,0,NA,1.91,0.6471032420585384,153.96666666666667
Metropolitan School District Southwest Allen County Schools,0125,Union School Corporation,6795,2023,5,#0868ac,-85.2849648,41.0391371,40.0481017,-85.1251322,Public,25,#d95f02,0125-6795,0,NA,3.68,1.3029127521808397,96.75
Northwest Allen County Schools,0225,Clarksville Community School Corporation,1000,2023,3.1622776601683795,#0868ac,-85.1365144,41.2044412,38.302952,-85.76037,Public,10,#d95f02,0225-1000,0,NA,1.23,0.20701416938432612,219.66666666666666
Northwest Allen County Schools,0225,Cloverdale Community Schools,6750,2023,2,#0868ac,-85.1365144,41.2044412,39.5109654,-86.78998399999999,Public,4,#d95f02,0225-6750,0,NA,0.49,-0.7133498878774648,164.56666666666666
Northwest Allen County Schools,0225,Union School Corporation,6795,2023,5.656854249492381,#0868ac,-85.1365144,41.2044412,40.0481017,-85.1251322,Public,32,#d95f02,0225-6795,0,NA,3.95,1.3737155789130306,107.35
Fort Wayne Community Schools,0235,Clarksville Community School Corporation,1000,2023,8.18535277187245,#0868ac,-85.13779989999999,41.074349,38.302952,-85.76037,Public,67,#d95f02,0235-1000,0,NA,0.87,-0.13926206733350766,221.38333333333333
Fort Wayne Community Schools,0235,Cloverdale Community Schools,6750,2023,4.58257569495584,#0868ac,-85.13779989999999,41.074349,39.5109654,-86.78998399999999,Public,21,#d95f02,0235-6750,0,NA,0.27,-1.3093333199837622,166.28333333333333
Fort Wayne Community Schools,0235,Union School Corporation,6795,2023,17.60681686165901,#0868ac,-85.13779989999999,41.074349,40.0481017,-85.1251322,Public,310,#d95f02,0235-6795,0,NA,4.03,1.3937663759585917,107.88333333333334
East Allen County Schools,0255,Clarksville Community School Corporation,1000,2023,4.898979485566356,#0868ac,-85.01177320000001,41.0664972,38.302952,-85.76037,Public,24,#d95f02,0255-1000,0,NA,1.13,0.12221763272424913,224.41666666666666
East Allen County Schools,0255,Cloverdale Community Schools,6750,2023,4.58257569495584,#0868ac,-85.01177320000001,41.0664972,39.5109654,-86.78998399999999,Public,21,#d95f02,0255-6750,0,NA,0.99,-0.01005033585350145,169.31666666666666
East Allen County Schools,0255,Union School Corporation,6795,2023,8.306623862918075,#0868ac,-85.01177320000001,41.0664972,40.0481017,-85.1251322,Public,69,#d95f02,0255-6795,0,NA,3.24,1.175573329804238,103.11666666666666
Bartholomew Consolidated School Corporation,0365,Clarksville Community School Corporation,1000,2023,3.4641016151377544,#0868ac,-85.9046965,39.2110398,38.302952,-85.76037,Public,12,#d95f02,0365-1000,0,NA,1,0,175.93333333333334
Bartholomew Consolidated School Corporation,0365,Cloverdale Community Schools,6750,2023,1.7320508075688772,#0868ac,-85.9046965,39.2110398,39.5109654,-86.78998399999999,Public,3,#d95f02,0365-6750,0,NA,0.25,-1.3862943611198906,120.83333333333333
Bartholomew Consolidated School Corporation,0365,Union School Corporation,6795,2023,6.708203932499369,#0868ac,-85.9046965,39.2110398,40.0481017,-85.1251322,Public,45,#d95f02,0365-6795,0,NA,3.77,1.3270750014599193,63.61666666666667
Flat Rock-Hawcreek School Corporation,0370,Clarksville Community School Corporation,1000,2023,1.7320508075688772,#0868ac,-85.7714416,39.2933543,38.302952,-85.76037,Public,3,#d95f02,0370-1000,0,NA,3.03,1.1085626195212777,79.08333333333333
Flat Rock-Hawcreek School Corporation,0370,Union School Corporation,6795,2023,2.6457513110645907,#0868ac,-85.7714416,39.2933543,40.0481017,-85.1251322,Public,7,#d95f02,0370-6795,0,NA,7.07,1.955860479908481,97.9
Benton Community School Corporation,0395,Clarksville Community School Corporation,1000,2023,3.7416573867739418,#0868ac,-87.3208518,40.6167044,38.302952,-85.76037,Public,14,#d95f02,0395-1000,0,NA,5.76,1.7509374747078,186.11666666666667
Benton Community School Corporation,0395,Cloverdale Community Schools,6750,2023,1,#0868ac,-87.3208518,40.6167044,39.5109654,-86.78998399999999,Public,1,#d95f02,0395-6750,0,NA,0.41,-0.8915981192837836,113.38333333333334
Benton Community School Corporation,0395,Union School Corporation,6795,2023,3.7416573867739418,#0868ac,-87.3208518,40.6167044,40.0481017,-85.1251322,Public,14,#d95f02,0395-6795,0,NA,5.76,1.7509374747078,150.45
Blackford County Schools,0515,Clarksville Community School Corporation,1000,2023,2.6457513110645907,#0868ac,-85.3826845,40.4210207,38.302952,-85.76037,Public,7,#d95f02,0515-1000,0,NA,2.29,0.8285518175661483,186.75
Blackford County Schools,0515,Daleville Community Schools,1940,2023,1,#0868ac,-85.3826845,40.4210207,40.11991190000001,-85.555199,Public,1,#d95f02,0515-1940,0,NA,0.33,-1.1086626245216111,44.916666666666664
Blackford County Schools,0515,Cloverdale Community Schools,6750,2023,2.8284271247461903,#0868ac,-85.3826845,40.4210207,39.5109654,-86.78998399999999,Public,8,#d95f02,0515-6750,0,NA,2.61,0.959350221334602,131.65
Blackford County Schools,0515,Union School Corporation,6795,2023,5.196152422706632,#0868ac,-85.3826845,40.4210207,40.0481017,-85.1251322,Public,27,#d95f02,0515-6795,0,NA,8.82,2.1770218700187,53.016666666666666
Western Boone County Community School District,0615,Clarksville Community School Corporation,1000,2023,2,#0868ac,-86.6195189,40.0572354,38.302952,-85.76037,Public,4,#d95f02,0615-1000,0,NA,3.2,1.1631508098056809,133
Western Boone County Community School District,0615,Union School Corporation,6795,2023,3,#0868ac,-86.6195189,40.0572354,40.0481017,-85.1251322,Public,9,#d95f02,0615-6795,0,NA,7.2,1.9740810260220096,97.33333333333333
Zionsville Community Schools,0630,Clarksville Community School Corporation,1000,2023,1.7320508075688772,#0868ac,-86.27089199999999,39.9609071,38.302952,-85.76037,Public,3,#d95f02,0630-1000,0,NA,1.52,0.41871033485818504,126.76666666666667
Zionsville Community Schools,0630,Cloverdale Community Schools,6750,2023,4.898979485566356,#0868ac,-86.27089199999999,39.9609071,39.5109654,-86.78998399999999,Public,24,#d95f02,0630-6750,0,NA,12.12,2.494856980641168,62.31666666666667
Zionsville Community Schools,0630,Union School Corporation,6795,2023,2,#0868ac,-86.27089199999999,39.9609071,40.0481017,-85.1251322,Public,4,#d95f02,0630-6795,0,NA,2.02,0.7030975114131134,89.31666666666666
Lebanon Community School Corporation,0665,Clarksville Community School Corporation,1000,2023,4,#0868ac,-86.4576285,40.0628062,38.302952,-85.76037,Public,16,#d95f02,0665-1000,0,NA,3.81,1.3376291891386096,126.45
Lebanon Community School Corporation,0665,Union School Corporation,6795,2023,6.6332495807108,#0868ac,-86.4576285,40.0628062,40.0481017,-85.1251322,Public,44,#d95f02,0665-6795,0,NA,10.48,2.349468678892896,90.78333333333333
Brown County School Corporation,0670,Clarksville Community School Corporation,1000,2023,3,#0868ac,-86.2427226,39.2055185,38.302952,-85.76037,Public,9,#d95f02,0670-1000,0,NA,2.91,1.0681530811834012,78.41666666666667
Brown County School Corporation,0670,Union School Corporation,6795,2023,3,#0868ac,-86.2427226,39.2055185,40.0481017,-85.1251322,Public,9,#d95f02,0670-6795,0,NA,2.91,1.0681530811834012,124.9
Carroll Consolidated School Corporation,0750,Clarksville Community School Corporation,1000,2023,2.23606797749979,#0868ac,-86.5149909,40.5478728,38.302952,-85.76037,Public,5,#d95f02,0750-1000,0,NA,3.38,1.2178757094949273,171.48333333333332
Carroll Consolidated School Corporation,0750,Union School Corporation,6795,2023,2.23606797749979,#0868ac,-86.5149909,40.5478728,40.0481017,-85.1251322,Public,5,#d95f02,0750-6795,0,NA,3.38,1.2178757094949273,118.75
Delphi Community School Corporation,0755,Clarksville Community School Corporation,1000,2023,1.7320508075688772,#0868ac,-86.66886029999999,40.5759817,38.302952,-85.76037,Public,3,#d95f02,0755-1000,0,NA,2.05,0.7178397931503168,176.48333333333332
Delphi Community School Corporation,0755,Cloverdale Community Schools,6750,2023,1.4142135623730951,#0868ac,-86.66886029999999,40.5759817,39.5109654,-86.78998399999999,Public,2,#d95f02,0755-6750,0,NA,1.37,0.3148107398400336,112.33333333333333
Delphi Community School Corporation,0755,Union School Corporation,6795,2023,3.872983346207417,#0868ac,-86.66886029999999,40.5759817,40.0481017,-85.1251322,Public,15,#d95f02,0755-6795,0,NA,10.27,2.329227023940467,126.88333333333334
Pioneer Regional School Corporation,0775,Clarksville Community School Corporation,1000,2023,1,#0868ac,-86.4997266,40.8644849,38.302952,-85.76037,Public,1,#d95f02,0775-1000,0,NA,1.19,0.17395330712343798,198
Pioneer Regional School Corporation,0775,Union School Corporation,6795,2023,2.8284271247461903,#0868ac,-86.4997266,40.8644849,40.0481017,-85.1251322,Public,8,#d95f02,0775-6795,0,NA,9.52,2.253394848803274,132.6
Lewis Cass Schools,0815,Clarksville Community School Corporation,1000,2023,2.23606797749979,#0868ac,-86.2421671,40.6603191,38.302952,-85.76037,Public,5,#d95f02,0815-1000,0,NA,2.26,0.8153648132841944,175.93333333333334
Lewis Cass Schools,0815,Eastern Howard School Corporation,3480,2023,1.7320508075688772,#0868ac,-86.2421671,40.6603191,40.475289,-85.966644,Public,3,#d95f02,0815-3480,0,NA,1.36,0.3074846997479607,32.68333333333333
Lewis Cass Schools,0815,Union School Corporation,6795,2023,2.8284271247461903,#0868ac,-86.2421671,40.6603191,40.0481017,-85.1251322,Public,8,#d95f02,0815-6795,0,NA,3.62,1.2864740258376797,63.61666666666667
Logansport Community School Corporation,0875,Clarksville Community School Corporation,1000,2023,3.872983346207417,#0868ac,-86.32951589999999,40.7562044,38.302952,-85.76037,Public,15,#d95f02,0875-1000,0,NA,6.07,1.803358605071407,185.7
Logansport Community School Corporation,0875,Union School Corporation,6795,2023,4.69041575982343,#0868ac,-86.32951589999999,40.7562044,40.0481017,-85.1251322,Public,22,#d95f02,0875-6795,0,NA,8.91,2.187174241482718,122.26666666666667
Borden-Henryville School Corporation,0935,Clarksville Community School Corporation,1000,2023,3.3166247903554,#0868ac,-85.7608169,38.4872222,38.302952,-85.76037,Public,11,#d95f02,0935-1000,0,NA,1.86,0.62057648772511,19.5
Borden-Henryville School Corporation,0935,Union School Corporation,6795,2023,2.449489742783178,#0868ac,-85.7608169,38.4872222,40.0481017,-85.1251322,Public,6,#d95f02,0935-6795,0,NA,1.02,0.01980262729617973,158.3
